fold,regime,condition,model,auc,macro_f1,recall_0,accuracy
0,unseen_reader,text_only,LR,0.5322579015439335,0.46759400998336104,0.4460431654676259,0.5581668625146886
0,unseen_reader,text_only,RF,0.6459916336593645,0.5528909425405382,0.6115107913669064,0.6392479435957696
0,unseen_reader,text_only,XGB,0.6496897987228194,0.5414561864349701,0.6115107913669064,0.6239717978848414
0,unseen_reader,majority,majority,0.5,0.45553422904670504,0.0,0.836662749706228
0,unseen_reader,random,random,0.5026624767601648,0.4998871571420591,0.22302158273381295,0.690951821386604
0,unseen_reader,early,LR,0.5090938485166923,0.4404735195502873,0.5107913669064749,0.5041128084606346
0,unseen_reader,early,RF,0.5260892409667772,0.4548366431774504,0.0,0.8343125734430082
0,unseen_reader,early,XGB,0.5418215989006547,0.5158621369313193,0.2517985611510791,0.7015276145710928
0,unseen_reader,early_bc,LR,0.5122160698407566,0.1404040404040404,1.0,0.16333725029377202
0,unseen_reader,early_bc,RF,0.4808018753536496,0.45553422904670504,0.0,0.836662749706228
0,unseen_reader,early_bc,XGB,0.478220232802522,0.177101219288634,0.9280575539568345,0.18801410105757932
0,unseen_reader,late,LR,0.4910172985207339,0.37148736922867326,0.6187050359712231,0.39482961222091656
0,unseen_reader,late,RF,0.4869705359308059,0.4551856594110115,0.0,0.8354876615746181
0,unseen_reader,late,XGB,0.49967666316385084,0.49465221017514593,0.2158273381294964,0.6862514688601645
0,unseen_reader,late_bc,LR,0.4820952226982459,0.48964276452282157,0.1223021582733813,0.7391304347826086
0,unseen_reader,late_bc,RF,0.516934766793307,0.45553422904670504,0.0,0.836662749706228
0,unseen_reader,late_bc,XGB,0.48908232964190446,0.4575138708535002,0.02877697841726619,0.7779083431257344
0,unseen_reader,combined,LR,0.5269076873332794,0.44744954306588836,0.60431654676259,0.4970622796709753
0,unseen_reader,combined,RF,0.4782353892167165,0.4551856594110115,0.0,0.8354876615746181
0,unseen_reader,combined,XGB,0.5054866219384043,0.5048229121007287,0.16546762589928057,0.7332549941245593
0,unseen_reader,combined_bc,LR,0.5211684584916337,0.1419485306109136,1.0,0.1645123384253819
0,unseen_reader,combined_bc,RF,0.5259528332390268,0.45553422904670504,0.0,0.836662749706228
0,unseen_reader,combined_bc,XGB,0.5150149543286718,0.2945954907161804,0.8345323741007195,0.29494712103407755
0,unseen_reader,combined_ling,LR,0.5461058119796297,0.45533908502086484,0.4892086330935252,0.5299647473560517
0,unseen_reader,combined_ling,RF,0.5435342737046318,0.4551856594110115,0.0,0.8354876615746181
0,unseen_reader,combined_ling,XGB,0.5543003799207824,0.5016530770341776,0.1510791366906475,0.7379553466509988
0,unseen_reader,combined_ling_bc,LR,0.5405585643844475,0.1726413833372025,0.9928057553956835,0.18801410105757932
0,unseen_reader,combined_ling_bc,RF,0.519622504243796,0.45553422904670504,0.0,0.836662749706228
0,unseen_reader,combined_ling_bc,XGB,0.5513246706005981,0.5123641304347827,0.12949640287769784,0.7720329024676851
0,unseen_text,text_only,LR,0.5698197316207185,0.5546674279189266,0.4166666666666667,0.6990740740740741
0,unseen_text,text_only,RF,0.5982958698830411,0.5475156317120901,0.3630952380952381,0.7074074074074074
0,unseen_text,text_only,XGB,0.5566618368838765,0.536060331249105,0.3392857142857143,0.7
0,unseen_text,majority,majority,0.5,0.4578313253012048,0.0,0.8444444444444444
0,unseen_text,random,random,0.5056390977443609,0.501808364321736,0.2261904761904762,0.6981481481481482
0,unseen_text,early,LR,0.5363082184628237,0.48465327775672606,0.3392857142857143,0.6222222222222222
0,unseen_text,early,RF,0.5245568347953217,0.47309496078669144,0.017857142857142856,0.8398148148148148
0,unseen_text,early,XGB,0.5431351817042607,0.5157009368447844,0.2857142857142857,0.6916666666666667
0,unseen_text,early_bc,LR,0.4928532268170426,0.3667354894651367,0.6488095238095238,0.3888888888888889
0,unseen_text,early_bc,RF,0.49062761069340016,0.4578313253012048,0.0,0.8444444444444444
0,unseen_text,early_bc,XGB,0.4859707863408521,0.4199746854798291,0.5476190476190477,0.47314814814814815
0,unseen_text,late,LR,0.5433701441102757,0.47535070593080475,0.5,0.562037037037037
0,unseen_text,late,RF,0.5490320854218881,0.457286432160804,0.0,0.8425925925925926
0,unseen_text,late,XGB,0.5329926378446116,0.5203113671919716,0.22023809523809523,0.7305555555555555
0,unseen_text,late_bc,LR,0.5629307644110276,0.5135285396590067,0.31547619047619047,0.6759259259259259
0,unseen_text,late_bc,RF,0.5726914943609023,0.4578313253012048,0.0,0.8444444444444444
0,unseen_text,late_bc,XGB,0.5426456766917294,0.5129212988765364,0.13690476190476192,0.7722222222222223
0,unseen_text,combined,LR,0.5569653299916457,0.4693906564252234,0.4523809523809524,0.5648148148148148
0,unseen_text,combined,RF,0.5667489035087719,0.4578313253012048,0.0,0.8444444444444444
0,unseen_text,combined,XGB,0.5360732560568087,0.4905250077663871,0.13690476190476192,0.7342592592592593
0,unseen_text,combined_bc,LR,0.5044577589807853,0.3675536025791066,0.6904761904761905,0.3861111111111111
0,unseen_text,combined_bc,RF,0.49708907685881365,0.4578313253012048,0.0,0.8444444444444444
0,unseen_text,combined_bc,XGB,0.47586740288220547,0.45062398263700487,0.38095238095238093,0.5555555555555556
0,unseen_text,combined_ling,LR,0.5924511800334169,0.5431109329258212,0.36904761904761907,0.6990740740740741
0,unseen_text,combined_ling,RF,0.5984296679197996,0.4578313253012048,0.0,0.8444444444444444
0,unseen_text,combined_ling,XGB,0.5613382414369257,0.5323447627030514,0.18452380952380953,0.7694444444444445
0,unseen_text,combined_ling_bc,LR,0.5374765037593985,0.4184790024746359,0.625,0.45925925925925926
0,unseen_text,combined_ling_bc,RF,0.5494400062656642,0.4578313253012048,0.0,0.8444444444444444
0,unseen_text,combined_ling_bc,XGB,0.5238780545112782,0.5080307733837225,0.09523809523809523,0.8
0,unseen_both,text_only,LR,0.6190671031096562,0.5617567187938945,0.38461538461538464,0.675
0,unseen_both,text_only,RF,0.6350245499181668,0.6273291925465838,0.46153846153846156,0.7333333333333333
0,unseen_both,text_only,XGB,0.6031096563011457,0.5807453416149069,0.38461538461538464,0.7
0,unseen_both,majority,majority,0.5,0.4392523364485981,0.0,0.7833333333333333
0,unseen_both,random,random,0.4705400981996727,0.4694736842105263,0.15384615384615385,0.65
0,unseen_both,early,LR,0.5495090016366613,0.4871794871794872,0.5384615384615384,0.5333333333333333
0,unseen_both,early,RF,0.49897708674304414,0.4392523364485981,0.0,0.7833333333333333
0,unseen_both,early,XGB,0.4656301145662848,0.48888888888888893,0.2692307692307692,0.6166666666666667
0,unseen_both,early_bc,LR,0.5441898527004909,0.1780821917808219,1.0,0.21666666666666667
0,unseen_both,early_bc,RF,0.4646072013093289,0.4392523364485981,0.0,0.7833333333333333
0,unseen_both,early_bc,XGB,0.505114566284779,0.1898366606170599,1.0,0.225
0,unseen_both,late,LR,0.4795417348608838,0.3528958610546957,0.6153846153846154,0.35833333333333334
0,unseen_both,late,RF,0.46215220949263497,0.4392523364485981,0.0,0.7833333333333333
0,unseen_both,late,XGB,0.48240589198036005,0.4982078853046595,0.23076923076923078,0.65
0,unseen_both,late_bc,LR,0.5511456628477904,0.49401709401709404,0.15384615384615385,0.6916666666666667
0,unseen_both,late_bc,RF,0.4901800327332242,0.4392523364485981,0.0,0.7833333333333333
0,unseen_both,late_bc,XGB,0.574672667757774,0.43661971830985913,0.0,0.775
0,unseen_both,combined,LR,0.4991816693944354,0.4376757263355201,0.6153846153846154,0.4583333333333333
0,unseen_both,combined,RF,0.4478314238952537,0.4392523364485981,0.0,0.7833333333333333
0,unseen_both,combined,XGB,0.41898527004909986,0.46928746928746934,0.19230769230769232,0.625
0,unseen_both,combined_bc,LR,0.5286415711947626,0.1780821917808219,1.0,0.21666666666666667
0,unseen_both,combined_bc,RF,0.5337561374795418,0.4392523364485981,0.0,0.7833333333333333
0,unseen_both,combined_bc,XGB,0.5403027823240589,0.4201274599061559,0.7692307692307693,0.425
0,unseen_both,combined_ling,LR,0.6137479541734862,0.5373636289065704,0.5,0.6083333333333333
0,unseen_both,combined_ling,RF,0.47667757774140757,0.4392523364485981,0.0,0.7833333333333333
0,unseen_both,combined_ling,XGB,0.48199672667757776,0.43977591036414565,0.11538461538461539,0.625
0,unseen_both,combined_ling_bc,LR,0.5883797054009821,0.21274601686972822,1.0,0.24166666666666667
0,unseen_both,combined_ling_bc,RF,0.4455810147299509,0.4392523364485981,0.0,0.7833333333333333
0,unseen_both,combined_ling_bc,XGB,0.625,0.462880074085507,0.038461538461538464,0.7583333333333333
1,unseen_reader,text_only,LR,0.5721424379466289,0.5105670287124235,0.5,0.5868055555555556
1,unseen_reader,text_only,RF,0.6219793212966479,0.5535768833312753,0.5542168674698795,0.6319444444444444
1,unseen_reader,text_only,XGB,0.6278782752787655,0.54739992095308,0.6024096385542169,0.6134259259259259
1,unseen_reader,majority,majority,0.5,0.4468629961587708,0.0,0.8078703703703703
1,unseen_reader,random,random,0.4955293955190389,0.49549670654657885,0.19879518072289157,0.6782407407407407
1,unseen_reader,early,LR,0.4699313011357752,0.46895208414491624,0.29518072289156627,0.5891203703703703
1,unseen_reader,early,RF,0.43649670314495803,0.44579858883899937,0.0,0.8043981481481481
1,unseen_reader,early,XGB,0.475428936375876,0.5020172910662825,0.20481927710843373,0.6851851851851852
