,,,auc,auc,macro_f1,macro_f1,recall_0,recall_0,accuracy,accuracy
,,,mean,std,mean,std,mean,std,mean,std
condition,model,regime,,,,,,,,
combined,LR,unseen_both,0.5471,0.0667,0.4883,0.0456,0.5622,0.1163,0.5437,0.0527
combined,LR,unseen_reader,0.5404,0.0373,0.4769,0.0263,0.5192,0.0652,0.5404,0.037
combined,LR,unseen_text,0.5424,0.022,0.4767,0.0269,0.5154,0.051,0.5401,0.0279
combined,RF,unseen_both,0.4981,0.0501,0.4517,0.0331,0.0077,0.0243,0.8013,0.0443
combined,RF,unseen_reader,0.5089,0.0303,0.4489,0.0047,0.0006,0.002,0.8126,0.0135
combined,RF,unseen_text,0.504,0.0409,0.4478,0.0101,0.0005,0.0014,0.81,0.0351
combined,XGB,unseen_both,0.4906,0.0966,0.502,0.0629,0.1739,0.1034,0.7075,0.0623
combined,XGB,unseen_reader,0.5062,0.0203,0.5015,0.0089,0.1524,0.025,0.7228,0.0179
combined,XGB,unseen_text,0.5113,0.0278,0.5104,0.0176,0.1669,0.0307,0.7265,0.0237
combined_bc,LR,unseen_both,0.5379,0.0816,0.2318,0.1405,0.8855,0.2852,0.2825,0.1967
combined_bc,LR,unseen_reader,0.5425,0.0363,0.23,0.1471,0.894,0.258,0.2757,0.2003
combined_bc,LR,unseen_text,0.5175,0.028,0.4214,0.0629,0.6023,0.1287,0.4565,0.082
combined_bc,RF,unseen_both,0.492,0.0584,0.4443,0.0129,0.0,0.0,0.8004,0.0423
combined_bc,RF,unseen_reader,0.4953,0.0293,0.4484,0.0042,0.0,0.0,0.813,0.0137
combined_bc,RF,unseen_text,0.5056,0.0189,0.4474,0.0109,0.0,0.0,0.8104,0.0355
combined_bc,XGB,unseen_both,0.512,0.0365,0.471,0.046,0.2448,0.2499,0.665,0.1386
combined_bc,XGB,unseen_reader,0.5113,0.0297,0.4614,0.063,0.2632,0.2641,0.6547,0.1604
combined_bc,XGB,unseen_text,0.4905,0.0257,0.4871,0.0228,0.1518,0.0935,0.7095,0.0617
combined_ling,LR,unseen_both,0.578,0.0684,0.5066,0.0435,0.5582,0.1406,0.5734,0.0677
combined_ling,LR,unseen_reader,0.5835,0.0331,0.4963,0.0291,0.5314,0.0671,0.5638,0.0304
combined_ling,LR,unseen_text,0.5696,0.0303,0.4846,0.0412,0.5153,0.0987,0.5585,0.087
combined_ling,RF,unseen_both,0.5552,0.0684,0.4439,0.0131,0.0,0.0,0.7993,0.0431
combined_ling,RF,unseen_reader,0.5613,0.0235,0.4489,0.0044,0.0006,0.0019,0.8126,0.0133
combined_ling,RF,unseen_text,0.5548,0.0381,0.4484,0.0097,0.0011,0.0024,0.8099,0.0352
combined_ling,XGB,unseen_both,0.5456,0.1128,0.5288,0.0686,0.1923,0.091,0.7324,0.0665
combined_ling,XGB,unseen_reader,0.5634,0.0303,0.5283,0.0225,0.1901,0.049,0.7399,0.0125
